,file_names,Tsd,Fsd,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,augspurger_si,mating_opp_si,outcross_opp_si
68,T_5_F_30.csv,5.00E+00,30,0.162008482,0.009125057,0.825489624,0.682774853,0.544695261,2834.933333,2646.266667
69,T_5_F_5.csv,5.00E+00,5,0.187056116,0.036902759,0.632716401,0.445091211,0.682019919,11357.6,10701.8
70,T_5_F_7.5.csv,5.00E+00,7.5,0.150538382,0.02981931,0.747534569,0.415874007,0.727837183,9125.2,8647.6
71,T_7.5_F_0.2.csv,7.50E+00,0.2,0.031347121,0.040225747,0.05836816,0.047364747,0.079501916,19222.6,11665.46667
72,T_7.5_F_1.5.csv,7.50E+00,1.5,0.091019279,0.038312414,0.21134244,0.165304375,0.332765006,13008.66667,11110.6
73,T_7.5_F_1.csv,7.50E+00,1,0.065935726,0.037941149,0.141491451,0.11562572,0.230771757,13802.13333,11002.93333
74,T_7.5_F_10.csv,7.50E+00,10,0.161595678,0.021643448,0.695070209,0.497635914,0.668665795,6666.466667,6276.6
75,T_7.5_F_15.csv,7.50E+00,15,0.156051055,0.01660023,0.771508059,0.518852306,0.667305675,5109.133333,4814.066667
76,T_7.5_F_2.csv,7.50E+00,2,0.104620475,0.037526437,0.269882716,0.197542368,0.394197144,12356.66667,10882.66667
77,T_7.5_F_20.csv,7.50E+00,20,0.142762559,0.013292414,0.814315108,0.511742362,0.636914035,4096.866667,3854.8
78,T_7.5_F_30.csv,7.50E+00,30,0.135016593,0.009033793,0.816277335,0.561408212,0.548861344,2808.066667,2619.8
79,T_7.5_F_5.csv,7.50E+00,5,0.18569707,0.031313793,0.528484426,0.430753099,0.618779809,9741.933333,9081
80,T_7.5_F_7.5.csv,7.50E+00,7.5,0.17890985,0.026022069,0.664265245,0.484803755,0.675542336,8012.2,7546.4
